agno,clues,clave_institucion,clave_municipio,lat,long,distancia,tiempo_translado,nombre_de_la_unidad,total_de_consultorios,total_camas_area_hospitalizacion,total_camas_en_otras_areas_no_hosp,total_medicos_generales_y_especialistas,total_de_enfermeras_en_contacto_con_el_paciente
2023,ASDIF000011,DIF,001,21.8677,-102.309,0,0,DIF AGUASCALIENTES,0,0,0,0,0
2023,ASDIF000023,DIF,004,22.3399,-102.264,0,0,DIF COSÍO,0,0,0,0,0
2023,ASDIF000035,DIF,007,22.2028,-102.284,0,0,DIF RINCÓN DE ROMOS,0,0,0,0,0
2023,ASDIF000040,DIF,009,22.198,-102.141,0,0,DIF TEPEZALÁ,0,0,0,0,0
2023,ASDIF000052,DIF,003,21.8178,-102.685,0,0,DIF CALVILLO,0,0,0,0,0
2023,ASDIF000064,DIF,001,21.8654,-102.296,0,0,CENTRO GERONTOLÓGICO,0,0,0,0,0
2023,ASDIF000076,DIF,011,22.0751,-102.27,0,0,DIF SAN FRACISCO DE LOS ROMO,0,0,0,0,0
2023,ASHUN000012,HUN,001,21.8808,-102.296,0,0,UNIDAD DE ODONTOLOGÍA DE LA UNIVERSIDAD CUAUHTÉMOC,0,0,0,0,0
2023,ASIMS000016,IMS,001,21.876488,-102.254162,0,0,HGZ 2 AGUASCALIENTES,0,0,0,0,0
2023,ASIMS000021,IMS,001,21.866216,-102.294179,0,0,HGZ 1 AGUASCALIENTES,0,0,0,0,0
2023,ASIMS000033,IMS,001,21.8662,-102.294,0,0,UMF 1 AGUASCALIENTES,0,0,0,0,0
2023,ASIMS000045,IMS,001,21.9002,-102.293,0,0,UMF 10 AGUASCALIENTES,0,0,0,0,0
2023,ASIMS000050,IMS,001,21.8803,-102.318,0,0,UMF 7 SAN MARCOS,0,0,0,0,0
2023,ASIMS000062,IMS,001,21.8843,-102.274,0,0,UMF 8 AGUASCALIENTES,0,0,0,0,0
2023,ASIMS000074,IMS,001,21.897,-102.254,0,0,UMF 9 AGUASCALIENTES,0,0,0,0,0
